run_id,date,stage,description,data_scope,n_s1_queries,key_params,recall_at_candidates,val_precision,val_recall,val_f0.5,notes
blk_v2_5000_20260926_171216:tfidf_nab,2026-09-26,blocking,tfidf_nab,train fold 0 sample; pools = full train S2+S3,5000,"norm_v2; {""namespaces"": ""nab"", ""cap_df"": 20000, ""top_r"": 300, ""top_k"": 100, ""rescore"": true, ""work_budget"": 30000000.0, ""ns_weights"": {}}",0.982333,,,,oracle_f05=0.993351; cands_mean=200.0; RR=0.999981; sec=28.88; peak_gb=2.97
blk_v2_5000_20260926_171216:tfidf_nabp,2026-09-26,blocking,tfidf_nabp,train fold 0 sample; pools = full train S2+S3,5000,"norm_v2; {""namespaces"": ""nabp"", ""cap_df"": 20000, ""top_r"": 300, ""top_k"": 100, ""rescore"": true, ""work_budget"": 30000000.0, ""ns_weights"": {}}",0.980364,,,,oracle_f05=0.992995; cands_mean=200.0; RR=0.999981; sec=30.83; peak_gb=2.97
blk_v2_5000_20260926_171216:tfidf_nabp_p0.5,2026-09-26,blocking,tfidf_nabp_p0.5,train fold 0 sample; pools = full train S2+S3,5000,"norm_v2; {""namespaces"": ""nabp"", ""cap_df"": 20000, ""top_r"": 300, ""top_k"": 100, ""rescore"": true, ""work_budget"": 30000000.0, ""ns_weights"": {""p"": 0.5}}",0.983376,,,,oracle_f05=0.993914; cands_mean=200.0; RR=0.999981; sec=30.92; peak_gb=2.97
blk_v2_5000_20260926_171216:tfidf_nabp_addr0.7,2026-09-26,blocking,tfidf_nabp_addr0.7,train fold 0 sample; pools = full train S2+S3,5000,"norm_v2; {""namespaces"": ""nabp"", ""cap_df"": 20000, ""top_r"": 300, ""top_k"": 100, ""rescore"": true, ""work_budget"": 30000000.0, ""ns_weights"": {""a"": 0.7, ""b"": 0.7}}",0.971096,,,,oracle_f05=0.989988; cands_mean=200.0; RR=0.999981; sec=30.72; peak_gb=2.97
blk_v2_5000_20260926_171216:tfidf_nabp@5/source,2026-09-26,blocking,tfidf_nabp@5/source,train fold 0 sample; pools = full train S2+S3,5000,norm_v2; top_k per source=5,0.938658,,,,oracle_f05=0.979621; cands_mean=10.0; RR=0.999999; sec=; peak_gb=
blk_v2_5000_20260926_171216:tfidf_nabp@10/source,2026-09-26,blocking,tfidf_nabp@10/source,train fold 0 sample; pools = full train S2+S3,5000,norm_v2; top_k per source=10,0.960496,,,,oracle_f05=0.986374; cands_mean=20.0; RR=0.999998; sec=; peak_gb=
blk_v2_5000_20260926_171216:tfidf_nabp@20/source,2026-09-26,blocking,tfidf_nabp@20/source,train fold 0 sample; pools = full train S2+S3,5000,norm_v2; top_k per source=20,0.969706,,,,oracle_f05=0.989328; cands_mean=40.0; RR=0.999996; sec=; peak_gb=
blk_v2_5000_20260926_171216:tfidf_nabp@30/source,2026-09-26,blocking,tfidf_nabp@30/source,train fold 0 sample; pools = full train S2+S3,5000,norm_v2; top_k per source=30,0.973587,,,,oracle_f05=0.990521; cands_mean=60.0; RR=0.999994; sec=; peak_gb=
blk_v2_5000_20260926_171216:tfidf_nabp@50/source,2026-09-26,blocking,tfidf_nabp@50/source,train fold 0 sample; pools = full train S2+S3,5000,norm_v2; top_k per source=50,0.97741,,,,oracle_f05=0.991854; cands_mean=100.0; RR=0.99999; sec=; peak_gb=
blk_v2_5000_20260926_171216:tfidf_nabp@100/source,2026-09-26,blocking,tfidf_nabp@100/source,train fold 0 sample; pools = full train S2+S3,5000,norm_v2; top_k per source=100,0.980364,,,,oracle_f05=0.992995; cands_mean=200.0; RR=0.999981; sec=; peak_gb=
